Processing audios/3.wav
ASR Result:   | Latency:  0.1615602970123291
ASR Result:   | Latency:  0.1706852912902832
ASR Result:   | Latency:  0.1612708568572998
ASR Result:   | Latency:  0.16677355766296387
ASR Result:   | Latency:  0.09159731864929199
ASR Result:   | Latency:  0.17064237594604492
ASR Result: like  | Latency:  0.09306049346923828
ASR Result: like bas  | Latency:  0.16224074363708496
ASR Result: like basket  | Latency:  0.1622333526611328
ASR Result: like basketball  | Latency:  0.16175389289855957
ASR Result: like basketball  | Latency:  0.1761946678161621
ASR Result: like basketball in high  | Latency:  0.1744673252105713
ASR Result: like basketball in high school  | Latency:  0.17196106910705566
ASR Result: like basketball in high school but  | Latency:  0.16168880462646484
ASR Result: like basketball in high school but  | Latency:  0.16358518600463867
ASR Result: like basketball in high school but  | Latency:  0.16827011108398438
ASR Result: like basketball in high school but  | Latency:  0.08693337440490723
ASR Result: like basketball in high school but really  | Latency:  0.10829567909240723
ASR Result: like basketball in high school but really don't  | Latency:  0.11335611343383789
ASR Result: like basketball in high school but really don't like  | Latency:  0.18030786514282227
ASR Result: like basketball in high school but really don't like that  | Latency:  0.15143680572509766
ASR Result: like basketball in high school but really don't like that  | Latency:  0.4809575080871582
ASR Result: like basketball in high school but really don't like that very  | Latency:  0.3892025947570801
ASR Result: like basketball in high school but really don't like that very well  | Latency:  0.2868070602416992
ASR Result: like basketball in high school but really don't like that very well  | Latency:  0.19739603996276855
ASR Result: like basketball in high school but really don't like that very well now  | Latency:  0.0952916145324707
ASR Result: like basketball in high school but really don't like that very well now either  | Latency:  0.1939103603363037
ASR Result: like basketball in high school but really don't like that very well now either  | Latency:  0.1638789176940918
ASR Result: like basketball in high school but really don't like that very well now either and  | Latency:  0.14790749549865723
ASR Result: like basketball in high school but really don't like that very well now either and  | Latency:  0.14018750190734863
ASR Result: like basketball in high school but really don't like that very well now either and  | Latency:  0.12428474426269531
ASR Result: like basketball in high school but really don't like that very well now either and  | Latency:  0.12433481216430664
ASR Result: like basketball in high school but really don't like that very well now either and  | Latency:  0.1695539951324463
ASR Result: like basketball in high school but really don't like that very well now either and  | Latency:  0.13939237594604492
ASR Result: like basketball in high school but really don't like that very well now either and base  | Latency:  0.13322162628173828
ASR Result: like basketball in high school but really don't like that very well now either and baseball  | Latency:  0.13488364219665527
